HouseID,Address,City,NumberOfRooms
1,123 Moi Avenue,Nairobi,3
2,456 State House Road,Nairobi,4
3,789 Kenyatta Avenue,Nakuru,5
4,321 Kimathi Street,Nairobi,2
5,654 Oginga Odinga Road,Kisumu,6
6,987 Mama Ngina Street,Mombasa,3
7,147 Haile Selassie Avenue,Nairobi,4
8,258 Nyerere Road,Thika,7
9,369 Tom Mboya Street,Nairobi,3
10,741 Langata Road,Nairobi,5
11,852 Koinange Street,Nairobi,2
12,963 Uhuru Highway,Nairobi,4
13,159 Mombasa Road,Machakos,6
14,357 Waiyaki Way,Nairobi,3
15,486 Jomo Kenyatta Highway,Eldoret,5
